"","GR","sd","features","Dataset","Model"
"1",10.402434811732,1.15179885553317,1,"California Housing","Simplified BART"
"2",9.14610123305728,1.65281014037914,2,"California Housing","Simplified BART"
"3",9.81751828697629,2.01545029637204,5,"California Housing","Simplified BART"
"4",8.5380217918117,1.04245039394747,1,"Breast Tumor","Simplified BART"
"5",8.77639787521085,1.05784674153065,2,"Breast Tumor","Simplified BART"
"6",10.0425506394988,1.66187971784884,5,"Breast Tumor","Simplified BART"
"7",3.36090082450016,0.694486035519184,1,"Echo Months","Simplified BART"
"8",4.57832344849449,1.01146283911412,2,"Echo Months","Simplified BART"
"9",10.8223320540525,4.13202161619058,5,"Echo Months","Simplified BART"
"10",5.90413224451822,0.844691473858763,1,"Satellite Image","Simplified BART"
"11",7.47838028279386,1.3562472606384,2,"Satellite Image","Simplified BART"
"12",8.90114102282083,2.40283532577225,5,"Satellite Image","Simplified BART"
"13",3.59684820543581,0.28460824997115,1,"California Housing","BART"
"14",4.50956018508157,0.302202125982757,2,"California Housing","BART"
"15",5.56388915795042,0.349328180419072,5,"California Housing","BART"
"16",1.60800545612521,0.101170609419955,1,"Breast Tumor","BART"
"17",2.33641669048176,0.242168854776426,2,"Breast Tumor","BART"
"18",3.9314829225273,0.332043462642725,5,"Breast Tumor","BART"
"19",1.40033492192938,0.141916680097313,1,"Echo Months","BART"
"20",1.62118259808106,0.102460372539582,2,"Echo Months","BART"
"21",2.35725839139657,0.175241750125065,5,"Echo Months","BART"
"22",1.87255655121194,0.250377063561736,1,"Satellite Image","BART"
"23",2.24638810734532,0.224276422883351,2,"Satellite Image","BART"
"24",2.3524426588279,0.264909289105698,5,"Satellite Image","BART"
